timestep,reward,forward_vel,torso_z,ctrl_cost,alive_bonus,fall_penalty
225,0.059504300355911255,4.14849767130937,0.22519911648597501,0.004244175,5.0,0.0
226,0.058087971061468124,3.9618856894916945,0.22515311688826345,0.0025220385,5.0,0.0
227,0.057754043489694595,3.943838894657258,0.22511275657180208,0.0030123726,5.0,0.0
228,0.05457423999905586,3.482118130224924,0.22510262390122368,0.00222768,5.0,0.0
229,0.05379616841673851,3.391731017726718,0.22512333389713488,0.0017352712,5.0,0.0
230,0.05084886774420738,2.9620289749047837,0.22512886698730458,0.0024368525,5.0,0.0
231,0.04968435317277908,2.8090899947031973,0.2251358129638346,0.0033069388,5.0,0.0
232,0.053301308304071426,3.4081366457475952,0.22519272981298555,0.0034477909,5.0,0.0
233,0.04920629784464836,2.7906876933541693,0.22528412728359296,0.0035370118,5.0,0.0
234,0.051301345229148865,3.1512160947413417,0.22539511509397897,0.003147271,5.0,0.0
235,0.043574512004852295,1.9507235171168333,0.22554680743229252,0.0053191427,5.0,0.0
236,0.040101662278175354,1.4166427694187276,0.22567674363897833,0.00265413,5.0,0.0
237,0.040455371141433716,1.4957496156208905,0.2257676451769095,0.0033197706,5.0,0.0
238,0.03997774049639702,1.4394028306969655,0.22581928379974658,0.0024700537,5.0,0.0
239,0.04108502343297005,1.639595059678119,0.2258317935001287,0.0030345027,5.0,0.0
240,0.043726932257413864,2.091489932286219,0.225805001991796,0.0057505965,5.0,0.0
241,0.04134727269411087,1.7232297245702282,0.22576182984707416,0.002265244,5.0,0.0
242,0.04273967072367668,1.9713107255888394,0.22570566378844942,0.002776591,5.0,0.0
243,0.04328757897019386,2.081575754967098,0.22563967943504995,0.0024707487,5.0,0.0
244,0.04254207760095596,1.981006523750538,0.2255394592272162,0.0032378517,5.0,0.0
245,0.04524994269013405,2.446761282074751,0.2254649174746098,0.0031274683,5.0,0.0
246,0.046124231070280075,2.612013143340683,0.22535136746305662,0.0025449945,5.0,0.0
247,0.04499317705631256,2.447478760064358,0.2252622499311958,0.0033064478,5.0,0.0
248,0.04541971534490585,2.541132883317025,0.22521525744716925,0.0050303517,5.0,0.0
249,0.04449290409684181,2.406164616645598,0.22518415373350562,0.0030970823,5.0,0.0
250,0.046028900891542435,2.6835912111360627,0.22514884180789996,0.0036018959,5.0,0.0
251,0.05008361116051674,3.3843944039106852,0.22515052220192686,0.00454313,5.0,0.0
252,0.04783182218670845,3.0274138534074244,0.22516367647501628,0.0020653936,5.0,0.0
253,0.04423266649246216,2.4458207483690155,0.22520113610946196,0.003942884,5.0,0.0
254,0.039447784423828125,1.6574465618807936,0.22524991138841557,0.002745304,5.0,0.0
255,0.037030916661024094,1.2675812571298195,0.22530940316883666,0.0042454917,5.0,0.0
256,0.032511621713638306,0.5162140518410672,0.2253665125437326,0.0033969171,5.0,0.0
257,0.030473798513412476,0.18260974429060856,0.22541812843132542,0.0028444706,5.0,0.0
258,0.026684703305363655,-0.4502491594492522,0.22545349010944118,0.003622104,5.0,0.0
259,0.027020877227187157,-0.38410654753127593,0.22545626862269902,0.0024506324,5.0,0.0
260,0.025630585849285126,-0.6129876107411127,0.22542395009534705,0.0019099992,5.0,0.0
261,0.024972623214125633,-0.7149247421727768,0.22535532881296472,0.004219352,5.0,0.0
262,0.027792800217866898,-0.2234141337886103,0.22527575353098364,0.0034656408,5.0,0.0
263,0.02815752662718296,-0.15245042798493585,0.2251836821791845,0.0032698642,5.0,0.0
264,0.03045123815536499,0.25073423246964843,0.22512875181198705,0.0029992624,5.0,0.0
265,0.027592714875936508,-0.23373158242277065,0.22508652942145896,0.0035371596,5.0,0.0
266,0.026796890422701836,-0.3654559582577394,0.22504774787808307,0.0021777428,5.0,0.0
267,0.026512742042541504,-0.4082090959511928,0.22498732409149008,0.0019991188,5.0,0.0
268,0.024319909512996674,-0.7807361847566533,0.22494053054107394,0.0034641714,5.0,0.0
269,0.02081325650215149,-1.385120651560502,0.22490383767286903,0.0025125667,5.0,0.0
270,0.020082926377654076,-1.5071357122519673,0.22490128506315188,0.0033324969,5.0,0.0
271,0.017479395493865013,-1.9561307367258787,0.2249382840540539,0.0036406773,5.0,0.0
272,0.016543222591280937,-2.116281322217962,0.2249927085207728,0.0037272866,5.0,0.0
273,0.014119956642389297,-2.5358157004901765,0.22505549510915213,0.0041290373,5.0,0.0
274,0.014965555630624294,-2.387774258718169,0.22512387623320512,0.003082961,5.0,0.0
275,0.014379304833710194,-2.4886541096469283,0.22517526883673045,0.0029822688,5.0,0.0
276,0.015488103963434696,-2.2938846640519968,0.22521778749537535,0.0030499233,5.0,0.0
277,0.012869887985289097,-2.7506527335179056,0.2252596970605413,0.00239279,5.0,0.0
278,0.014168019406497478,-2.5243249315919787,0.22527106931541213,0.0013913892,5.0,0.0
279,0.012645512819290161,-2.7884552493989516,0.22530607818981704,0.0027435597,5.0,0.0
280,0.013249660842120647,-2.682137309339451,0.22533781290666466,0.003312027,5.0,0.0
281,0.014735130593180656,-2.42432444103745,0.22533883611998953,0.0015872678,5.0,0.0
282,0.013512951321899891,-2.6373909090966676,0.22531163896135847,0.0021702333,5.0,0.0
283,0.011997377499938011,-2.8999097647754937,0.2252828514940305,0.0046913195,5.0,0.0
284,0.01072544977068901,-3.1234177430422125,0.22525572013225778,0.0037519974,5.0,0.0
285,0.01110447570681572,-3.0572026906553784,0.22521645924152417,0.00436644,5.0,0.0
286,0.012234808877110481,-2.8604904044211668,0.2251522699475538,0.0045544817,5.0,0.0
287,0.015842199325561523,-2.234144800023277,0.2250684052918007,0.0025915843,5.0,0.0
288,0.016417112201452255,-2.134098883531518,0.22496610295705685,0.003722346,5.0,0.0
289,0.014303918927907944,-2.502867877957494,0.22485263262622646,0.0046947557,5.0,0.0
290,0.009909914806485176,-3.2720612608232345,0.2247513668730939,0.0021799211,5.0,0.0
291,0.004251462407410145,-4.256485673320882,0.2247052041649977,0.0036431372,5.0,0.0
292,0.003796673147007823,-4.336687775443812,0.22466058660393481,0.0030802758,5.0,0.0
293,-0.003512707771733403,-5.606924196940041,0.22467473548288772,0.0034174453,5.0,0.0
294,-0.0032811793498694897,-5.566860862425563,0.22468802686286984,0.0027307244,5.0,0.0
295,-0.0071049947291612625,-6.229306950442017,0.22474425707990497,0.002843661,5.0,0.0
296,-0.009484093636274338,-6.6404708061464435,0.22484503111640602,0.0024885866,5.0,0.0
297,-0.01117391511797905,-6.931143926536092,0.22498568537621233,0.002309171,5.0,0.0
298,-0.008996506221592426,-6.552669424578087,0.2251157166379193,0.0021159668,5.0,0.0
299,-0.006521455943584442,-6.122362193976922,0.2252359260476471,0.0032399292,5.0,0.0
300,-0.005135428160429001,-5.881139654178354,0.22533286243272022,0.0040562525,5.0,0.0
301,-0.0071740662679076195,-6.232236318605596,0.22543074907239508,0.002658871,5.0,0.0
302,-0.007749071344733238,-6.3289335724697615,0.22553509882210088,0.0030465273,5.0,0.0
303,-0.004264246206730604,-5.729355415644245,0.22560005596828894,0.0025569447,5.0,0.0
304,-0.0028209940064698458,-5.4805545627905055,0.22562570519104877,0.0029218716,5.0,0.0
305,-0.003256559371948242,-5.55285503237898,0.22561206310268136,0.0044302978,5.0,0.0
306,-0.0005249559180811048,-5.086668709495981,0.2255592478338954,0.0030283816,5.0,0.0
307,-0.0003587267128750682,-5.05884337250401,0.2254671039949139,0.0023562822,5.0,0.0
308,-0.000886546156834811,-5.149255309831215,0.22533587470883049,0.0017562466,5.0,0.0
309,-0.0017768597463145852,-5.2995431301530855,0.22518162921297827,0.0026469592,5.0,0.0
310,-0.005080515518784523,-5.861164652122314,0.22503893329431626,0.0015125583,5.0,0.0
311,-0.008078435435891151,-6.3659524879387765,0.2249316388663949,0.003595985,5.0,0.0
312,-0.0117095448076725,-6.97847547908078,0.22484432646758273,0.0034947742,5.0,0.0
313,-0.014547924511134624,-7.455276378598376,0.22479197387474725,0.003189756,5.0,0.0
314,-0.018762940540909767,-8.163063688669753,0.22475242212756344,0.0026488323,5.0,0.0
315,-0.020619526505470276,-8.470483436262771,0.22474719703140128,0.00296251,5.0,0.0
316,-0.02423882856965065,-9.074380626016573,0.22474498066791787,0.0023479324,5.0,0.0
317,-0.02929624915122986,-9.917780906423486,0.22478971035028933,0.001950631,5.0,0.0
